Name,Party,Twitter,Instagram,Facebook,TikTok
Amilcar Rivera,VICTORIA,amilcarriveragt,amilcarrivera_gt,AmilcarRiveraGT,amilcarriveragt
Armando Demián Castillo,VIVA,diparmandocast,armandocastillogt,armandocastGT,armandocasgt
Bernardo Arévalo de León,SEMILLA,BarevalodeLeon,barevalodeleon,Dr.BernardoArevalodeLeon,bernardoarevalogt
Álvaro Trujillo Baldizón,CAMBIO,,,AlvaroTrujilloGuate,alvarotrujllo
Edmond Mulet,CABAL,Edmondmulet,edmondmulet_,edmondmulet,edmondmulet
Isaac Farchi,AZUL,IsaacFarchi,isacfarchi,IsaacFarchiAnalista,isaacfarchi
Sandra Torres,UNE,SandraTorresGUA,sandratorresgua,SandraTorresGua,sandratorresgua
Giovanni Reyes,BIEN,GiovanniReyesO1,,people/Giovanni-Reyes-Ortíz/100083176989854/,giovannireyesortiz
Samuel Morales,FCN-NACION,sammymorales,,,sammymoralesoficial
Zury Ríos,VALOR-UNIONISTA,ZuryxGuate,zuryriossosa,zury.rios,zuryriossosa
Francisco Arredondo,CREO,DrArredondoGT,,,franciscoaarredondo
Carlos Pineda,PC,72_cpineda,cpineda72,CPineda72,cpineda_72
Ricardo Sagastumme,TODOS,RicardoSagastu,Ricardo.Sagastume.Oficial ,ricardosagastumegt,Ricardo.SagastumeOficial
Manuel Conde Orellana,VAMOS,manuelcondeo,,mcondeo,
Hugo Peña,ELEFANTE,Hugopenamedina,,,
Rudio Lecsan Mérida,PHG,lecsanmerida36,,lecsanmerida36,
Rudy Guzmán,NOSOTROS,rudyguzmangt,rudyguzman,rudyguzmangt,rudyguzmangt
Julio Rivera Clavería,MI-FAMILIA,JulioClaveriaGt,julioclaveriagt,JulioClaveriaGt,julioclaveriagt
Giulio Talamonti,UR,GIULIOTALAMONT1,talamonti_giulio,talamontiverdad,giuliotalamonti1
Manuel Ricardo Villacorta,VOS,MVillacortaOf,manuelvillacortaoficial,ManuelVillacortaOficial,manuelvillacortaoficial
Amílcar Pop,URNG-WINAQ,AmilcarPop,,profile.php?id=100057725635057,amilcarpopac
Luis Lam,PIN,luislampadilla,luis_lam_padilla,LuisLamPadilla,luis_lam_padilla
Rafael Espada,REPUBLICANO,soyrafaelespada,soyrafaelespada,rafaelespadagt,rafaespada1
