DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,1800000,153000,330500,,374000,8299,1200000,1677,125000,182600,485,16600000,7555,,,,29700,20900,79200,410300,13600,157000,9052
29/04/2023,1800000,153800,362000,,379700,8524,1200000,1961,126500,185200,486,16700000,7588,,,,29900,21000,79500,427300,13900,157000,9148
30/04/2023,1800000,155200,393300,,413300,8888,1200000,57800,129199,191000,509,17000000,7756,,,,30100,21300,79900,448600,14200,157200,9425
01/05/2023,1800000,156500,431600,,447700,9859,1200000,87700,131000,196300,523,17200000,8018,,,,30500,21500,80800,472800,14400,157300,9576
02/05/2023,1800000,157500,447400,,462400,10300,1200000,99100,131700,201400,536,17400000,8121,,,,30600,21800,82100,502100,14400,157400,9606
03/05/2023,1800000,159700,478000,,472000,10500,1300000,113300,134100,211200,562,17600000,8260,,,,30800,22500,84300,526500,14600,157600,9706
04/05/2023,1800000,162700,524400,,476200,10700,1400000,124800,137300,216300,580,17700000,8564,,,,31200,22900,85700,547000,15300,157700,9752
05/05/2023,1900000,169100,556600,,493900,10900,1400000,133200,140700,233500,654,17800000,8639,,,,33800,23300,86800,572000,16000,157800,10300
06/05/2023,1900000,178500,574100,,505200,11000,1500000,145600,143200,249700,755,18000000,8944,,,,37200,23800,88200,587400,16600,158200,10700
09/05/2023,1900000,193900,610000,,523600,12000,1500000,228300,149500,296200,895,18500000,9547,,,,41900,26500,92500,640700,17300,158800,11000
10/05/2023,1900000,197400,635600,,534800,12200,1500000,246500,150600,303300,920,18700000,9577,,,,42800,27500,93600,651900,17500,159000,11100
12/05/2023,1900000,201500,653600,,547200,12400,1600000,274100,152400,315100,951,19000000,9666,,,,44000,28100,94800,669400,17700,159200,11200
13/05/2023,1900000,204400,691300,,645100,12500,1600000,286400,158800,323500,1028,19100000,9822,,,,44400,28500,97600,689800,17900,159300,11300
14/05/2023,1900000,208900,711100,,693100,12700,1600000,294600,162500,326500,1090,19200000,10100,,,,44800,28800,101900,708600,18100,159400,11300
15/05/2023,1900000,211000,732600,,775800,12800,1700000,301700,164600,330100,1087,19300000,10200,,,,45600,29200,105000,728600,18200,159600,11300
16/05/2023,1900000,212400,741800,,941100,12800,1700000,323300,166100,337800,1117,19400000,10200,,,,46000,29600,106300,734000,18200,159700,11300
18/05/2023,1900000,215400,789800,,1500000,12900,1700000,345600,168300,365000,1208,19700000,10300,,,,47000,30300,107300,746200,18700,160600,11300
20/05/2023,2000000,232100,873800,,2000000,13200,1700000,387400,296400,377800,1246,20200000,10400,,,,50100,31200,111800,768300,19100,161900,11400
21/05/2023,2000000,246300,905000,,2300000,13200,1700000,409400,327100,384700,1274,20700000,10400,,,,51300,32000,113700,781200,19300,162200,11500
22/05/2023,2000000,254000,924200,,2600000,13300,1800000,432000,347800,391100,1320,21000000,10500,,,,52500,32400,114300,803900,19500,162600,11500
23/05/2023,2000000,266800,975400,,2900000,13300,1800000,445300,365500,396100,1337,21100000,10500,,,,53300,33200,115300,828400,20100,162800,11500
24/05/2023,2000000,276900,1000000,,3000000,13300,1800000,457700,369100,399900,1347,21300000,10600,,,,53900,33700,116800,842900,20200,162900,11600
25/05/2023,2000000,283100,1000000,,3200000,13400,1800000,465800,371800,403300,1426,21400000,10700,,,,54500,35300,118000,851100,20400,162900,11700
26/05/2023,2100000,294100,1100000,,3300000,13500,1900000,473500,374200,416000,1463,21500000,10700,,,,55600,37000,119600,860800,20900,163900,11700
27/05/2023,2100000,321200,1100000,,3400000,13600,1900000,485700,376300,436600,1485,21900000,10900,,,,56600,39200,122500,879300,21300,164100,11800
29/05/2023,2100000,334300,1200000,,3600000,13900,1900000,494800,379000,524900,1564,22200000,11400,,,,59200,39800,127400,890600,21900,164500,12000
30/05/2023,2100000,344800,1200000,,3700000,13900,1900000,498900,380200,551900,1607,22200000,11600,,,,59900,40500,129300,908600,22500,164700,12100
31/05/2023,2100000,355600,1200000,,3700000,14100,1900000,501700,381300,615600,1668,22300000,11800,,,,61300,40900,130699,934400,23000,164800,12200
01/06/2023,2200000,369700,1300000,,3800000,14300,2000000,515600,382100,647200,1781,22500000,11900,,,,64200,41500,133500,951800,23900,164900,13500
02/06/2023,2300000,376300,1300000,,3900000,14400,2000000,527400,383400,674900,1844,22600000,12000,,,,65200,41900,135000,959600,24100,165500,14100
03/06/2023,2300000,398000,1300000,,4000000,14700,2000000,532100,384800,687600,1891,22700000,12200,,,,66600,42600,138200,976300,24200,165700,14200
04/06/2023,2300000,409100,1300000,,4099999,15600,2100000,535800,385700,717900,1931,22900000,12500,,,,68700,43100,139700,990000,24400,165900,14300
06/06/2023,2300000,421800,1300000,,4200000,16100,2200000,585100,395700,783300,2060,23200000,12800,,,,70500,43600,145100,1000000,24700,166500,14400
07/06/2023,2300000,427500,1400000,,4400000,16200,2200000,592100,397400,862900,2126,23500000,13200,,,,71300,43800,149800,1000000,24800,166800,14500
09/06/2023,2400000,442400,1400000,,4500000,16600,2300000,607300,399400,927600,2249,23700000,13500,,,,72800,44200,154500,1000000,25200,167300,14700
10/06/2023,2400000,447200,1400000,,4600000,16800,2300000,614900,404100,964000,2296,23900000,13600,,,,73900,44400,156200,1000000,25800,167500,14900
10/06/2023,2400000,447200,1400000,,4600000,16800,2300000,614900,404100,964100,2296,23900000,13600,,,,73900,44400,156200,1000000,25800,167500,14900
11/06/2023,2400000,454200,1400000,4488,4800000,17000,2400000,620400,408600,992500,2347,24000000,14100,,,,77500,44600,160100,1100000,26300,167800,15000
12/06/2023,2400000,455300,1500000,4497,4800000,17000,2400000,621400,409500,995400,2350,24000000,14200,,,,78000,44600,161300,1100000,26400,167800,15000
14/06/2023,2400000,467800,1500000,4643,5000000,17400,2400000,632800,418600,1000000,2508,24200000,14500,,,,80500,44700,165900,1100000,26800,168400,15200
15/06/2023,2400000,475400,1600000,4684,5100000,17600,2500000,639800,428200,1000000,2592,24200000,14700,,,,87500,44800,168400,1100000,27100,168600,15300
17/06/2023,2400000,496000,1600000,4740,5300000,17800,2500000,678900,438600,1100000,2739,24400000,15200,,,,93900,45200,170900,1100000,27500,168800,16400
18/06/2023,2500000,505900,1600000,4811,5300000,17800,2500000,686700,445200,1100000,2817,24400000,15400,,,,95700,45400,172600,1100000,27800,168900,16800
19/06/2023,2500000,513700,1700000,4837,5400000,17900,2500000,691100,448600,1100000,2879,24500000,15500,,,,96400,45400,179200,1100000,28000,169000,16900
